year,week,pig_price,bean_pulp_price,chance,yumi,xiaomaifu,yufen,siliao,zhurou
2010,18,9.78,3.38,0,1.88,1.6,10.52,2.54,16.08
2010,17,9.44,3.36,0,1.87,1.59,10.43,2.53,15.81
2010,22,9.59,3.32,0,1.95,1.6,10.47,2.55,15.96
2010,29,12.23,3.18,0,2.02,1.54,10.79,2.58,17.92
2010,30,12.57,3.18,0,2.02,1.54,10.72,2.57,18.36
2010,31,12.47,3.24,0,2.02,1.54,10.72,2.58,18.42
2010,33,12.62,3.32,0,2.01,1.51,10.7,2.59,18.94
2010,34,12.6,3.34,0,2.01,1.5,10.73,2.59,19.09
2010,35,12.61,3.33,0,2,1.5,10.75,2.58,19.2
2010,37,12.65,3.34,0,1.98,1.48,10.75,2.56,19.45
2010,38,12.61,3.36,0,1.96,1.47,10.71,2.56,19.58
2010,39,12.58,3.43,0,1.94,1.47,10.74,2.56,19.45
2010,40,12.61,3.44,0,1.9,1.46,10.79,2.57,19.51
2010,41,12.67,3.53,0,1.89,1.46,10.87,2.57,19.48
2010,44,12.91,3.67,0,1.89,1.46,10.92,2.58,19.77
2010,45,13.3,3.7,0,1.91,1.47,10.6,2.59,20.29
2010,46,13.76,3.7,0,1.94,1.48,10.64,2.6,20.85
2010,48,13.71,3.61,0,1.96,1.47,10.56,2.6,21.16
2010,52,13.65,3.55,0,1.94,1.47,10.8,2.6,20.97
2011,3,13.98,3.59,0,1.95,1.46,11.12,2.6,21.64
2011,4,14.2,3.61,0,1.96,1.46,11.2,2.6,22.24
2011,6,14.35,3.62,0,1.96,1.46,11.21,2.6,22.72
2011,9,14.72,3.6,0,2.01,1.47,11.54,2.62,22.72
2011,12,14.07,3.51,0,2.06,1.47,11.63,2.63,22.08
2011,13,14.43,3.48,0,2.06,1.47,11.78,2.63,22.28
2011,14,14.59,3.44,0,2.07,1.48,11.76,2.63,22.39
2011,16,14.64,3.45,0,2.08,1.48,11.74,2.63,22.47
2011,17,14.65,3.4,0,2.08,1.46,11.54,2.63,22.69
2011,18,14.68,3.38,0,2.08,1.46,11.52,2.64,22.66
2011,19,15,3.35,1,2.1,1.47,11.51,2.65,23.04
2011,20,15.62,3.31,1,2.11,1.46,11.77,2.65,23.81
2011,22,17.41,3.29,1,2.16,1.43,11.72,2.68,25.3
2011,24,17.96,3.27,1,2.19,1.42,11.6,2.68,26.47
2011,26,19.41,3.32,1,2.24,1.41,11.64,2.72,28.41
2011,27,19.54,3.32,1,2.27,1.4,11.6,2.72,29.11
2011,28,19.45,3.34,1,2.31,1.41,11.58,2.74,29.61
2011,29,18.7,3.37,1,2.32,1.42,11.58,2.74,29.38
2011,30,18.74,3.38,1,2.34,1.42,11.6,2.76,29.31
2011,31,18.81,3.41,1,2.36,1.43,11.63,2.77,29.25
2011,32,19,3.41,1,2.38,1.45,11.61,2.77,29.17
2011,33,19.08,3.4,1,2.39,1.46,11.64,2.78,29.29
2011,34,19.24,3.4,1,2.41,1.48,11.43,2.8,29.4
2011,36,18.64,3.38,1,2.45,1.49,11.2,2.81,29.08
2011,37,18.41,3.37,1,2.4,1.5,11.17,2.8,29
2011,38,17.68,3.34,1,2.33,1.51,11.07,2.8,28.51
2011,39,17.44,3.33,1,2.26,1.52,11.08,2.77,28.12
2011,40,16.81,3.31,1,2.23,1.54,11.04,2.76,27.7
2011,41,16.62,3.28,1,2.24,1.56,11.13,2.76,27.28
2011,42,16.34,3.25,1,2.23,1.59,10.92,2.76,26.76
2011,43,16.1,3.22,1,2.22,1.61,10.9,2.76,26.42
2011,44,16.16,3.2,1,2.22,1.6,10.88,2.76,26.32
2011,46,16.43,3.19,1,2.22,1.61,10.87,2.76,26.25
2011,50,16.71,3.14,1,2.23,1.61,10.85,2.76,26.31
2011,51,17.01,3.15,1,2.24,1.62,10.78,2.77,26.71
2011,52,17.1,3.14,1,2.23,1.61,10.75,2.76,27.02
2012,2,17.51,3.2,1,2.22,1.61,10.7,2.77,27.64
2012,5,17.9,3.19,1,2.23,1.62,10.72,2.77,28.71
2012,4,17.51,3.2,1,2.22,1.62,10.71,2.77,28.06
2012,3,17.42,3.19,1,2.22,1.62,10.71,2.77,27.81
2012,6,16.99,3.21,1,2.23,1.62,10.7,2.78,27.57
2012,8,15.82,3.25,1,2.23,1.63,10.75,2.79,26.4
2012,9,15.48,3.27,1,2.23,1.62,10.72,2.8,26.11
2012,10,15.38,3.28,1,2.23,1.63,10.64,2.8,25.83
2012,11,15.23,3.31,1,2.24,1.64,10.66,2.81,25.75
2012,12,14.88,3.31,1,2.24,1.63,10.68,2.81,25.42
2012,13,14.43,3.34,0,2.25,1.64,10.66,2.82,24.65
2012,14,13.87,3.42,0,2.26,1.63,10.64,2.83,24.21
2012,15,13.83,3.48,0,2.28,1.63,10.66,2.85,23.99
2012,17,14.03,3.51,0,2.29,1.65,10.69,2.87,23.92
2012,17,13.88,3.57,0,2.31,1.65,10.7,2.87,23.64
2012,19,13.58,3.56,0,2.32,1.65,10.8,2.89,23.19
2012,20,13.36,3.55,0,2.32,1.65,10.84,2.89,22.74
2012,21,13.25,3.55,0,2.32,1.65,10.93,2.89,22.36
2012,22,13.23,3.51,0,2.36,1.64,11.02,2.88,22.4
2012,23,13.26,3.5,0,2.35,1.64,11.01,2.87,22.29
2012,24,13.56,3.49,0,2.35,1.65,11.12,2.87,22.34
2012,25,13.81,3.5,0,2.35,1.64,11.19,2.88,22.44
2012,27,13.71,3.59,0,2.35,1.65,11.31,2.89,22.31
2012,26,13.75,3.54,0,2.34,1.64,11.24,2.88,22.42
2012,28,13.75,3.69,0,2.36,1.65,11.36,2.9,22.19
2012,29,13.79,3.81,0,2.37,1.66,11.41,2.92,22.26
2012,30,13.67,3.97,0,2.39,1.66,11.41,2.95,22.06
2012,31,13.66,4.15,0,2.42,1.67,11.5,2.96,22.17
2012,32,13.69,4.24,0,2.42,1.68,11.58,2.98,22.21
2012,33,13.98,4.32,0,2.42,1.68,11.48,3,22.54
2012,34,14.31,4.43,0,2.44,1.68,11.53,3.02,23.02
2012,35,14.39,4.56,0,2.45,1.69,11.56,3.04,23.13
2012,36,14.47,4.66,0,2.44,1.7,11.54,3.05,23.26
2012,37,14.48,4.7,0,2.43,1.71,11.53,3.06,23.33
2012,38,14.52,4.67,0,2.41,1.7,11.46,3.06,23.42
2012,39,14.38,4.6,0,2.39,1.71,11.48,3.06,23.56
2012,40,14.36,4.58,0,2.37,1.71,11.46,3.05,23.76
2012,41,14.32,4.43,0,2.3,1.7,11.35,3.02,23.18
2012,42,14.27,4.31,0,2.26,1.69,11.36,3,23.24
2012,43,14.18,4.27,0,2.22,1.69,11.29,2.99,23.08
2012,44,14.16,4.18,0,2.2,1.69,11.25,2.98,23
2012,45,14.16,4.12,0,2.2,1.69,11.36,2.97,23.02
2012,46,14.24,4.04,0,2.19,1.69,11.44,2.96,23.01
2012,47,14.43,3.95,0,2.19,1.69,11.36,2.95,23.07
2012,48,14.78,3.93,1,2.19,1.7,11.41,2.95,23.34
2012,49,15.36,3.98,1,2.2,1.71,11.51,2.95,23.86
2012,50,15.77,4.06,1,2.21,1.72,11.6,2.96,24.22
2012,51,15.97,4.15,1,2.21,1.73,11.78,2.97,24.57
2013,52,16.18,4.23,1,2.23,1.75,11.76,2.98,24.94
2013,1,16.95,4.22,1,2.24,1.77,11.74,3.01,25.73
2013,2,17.57,4.17,1,2.26,1.78,11.8,3.01,26.15
2013,3,17.56,4.15,1,2.27,1.8,11.83,3.01,26.58
2013,4,17.46,4.14,1,2.27,1.8,11.91,3.02,26.71
2013,6,15.43,4.18,1,2.3,1.81,11.96,3.02,26.2
2013,7,15.29,4.16,1,2.3,1.82,11.98,3.02,25.89
2013,8,14.57,4.18,0,2.31,1.82,11.97,3.02,25.53
2013,9,13.81,4.22,0,2.31,1.82,11.91,3.03,24.81
2013,10,13.44,4.25,0,2.32,1.84,11.96,3.03,24.29
2013,11,12.79,4.28,0,2.32,1.84,11.99,3.04,23.58
2013,12,12.75,4.26,0,2.32,1.85,12.03,3.05,23.07
2013,13,12.66,4.28,0,2.33,1.86,12.05,3.05,22.71
2013,14,12.32,4.25,0,2.33,1.88,12.05,3.05,21.86
2013,15,11.67,4.18,0,2.33,1.89,12,3.05,21.21
2013,16,11.81,4.11,0,2.31,1.89,12.04,3.04,20.63
2013,17,11.76,4.08,0,2.32,1.9,12.05,3.04,20.22
2013,18,11.84,4.09,0,2.31,1.91,12.05,3.04,20.19
2013,19,12.11,4.1,0,2.32,1.92,12.07,3.04,20.32
2013,21,12.82,4.13,0,2.32,1.92,12.07,3.05,20.73
2013,22,13.45,4.17,0,2.32,1.92,12.05,3.05,21.42
2013,23,14.04,4.24,0,2.32,1.92,12.11,3.06,22.09
2013,24,14.06,4.29,0,2.32,1.92,12.13,3.05,22.56
2013,25,14.19,4.29,0,2.32,1.92,12.16,3.06,22.63
2013,26,14.11,4.27,0,2.33,1.92,12.2,3.07,22.58
2013,27,14.25,4.24,0,2.34,1.92,12.19,3.05,22.71
2013,28,14.28,4.18,0,2.34,1.91,12.23,3.06,22.81
2013,29,14.28,4.14,0,2.38,1.9,12.25,3.06,22.8
2013,30,14.79,4.12,1,2.38,1.88,12.19,3.06,23.14
2013,31,15.1,4.09,1,2.4,1.88,12.2,3.06,23.59
2013,32,15.43,4.05,1,2.41,1.87,12.14,3.06,24.1
2013,33,15.62,4.08,1,2.41,1.87,12.08,3.08,24.22
2013,34,15.61,4.11,1,2.43,1.88,12.13,3.08,24.23
2013,35,15.64,4.24,1,2.41,1.88,12.11,3.09,24.33
2013,35,15.72,4.34,1,2.41,1.88,12.05,3.1,24.5
2013,37,15.74,4.37,1,2.41,1.88,12.02,3.1,24.7
2013,38,15.58,4.41,1,2.38,1.88,12.06,3.1,24.86
2013,39,15.58,4.42,1,2.34,1.87,12.09,3.1,24.55
2013,40,15.47,4.47,1,2.32,1.87,12.12,3.1,24.43
2013,41,15.34,4.53,1,2.29,1.87,12.08,3.09,24.18
2013,42,15.19,4.57,1,2.26,1.87,12.03,3.09,23.99
2013,43,15.04,4.57,1,2.27,1.87,12.07,3.1,24.04
2013,44,14.95,4.55,1,2.26,1.87,12.14,3.11,23.95
2013,45,14.95,4.47,1,2.25,1.87,12.08,3.12,24.11
2013,46,15.08,4.47,1,2.26,1.87,12.09,3.11,24.15
2013,47,15.23,4.47,1,2.28,1.9,12.17,3.11,24.26
2013,48,15.46,4.46,1,2.27,1.9,12.1,3.11,24.39
2013,49,15.55,4.44,1,2.28,1.91,12.07,3.12,24.41
2013,50,15.53,4.4,1,2.29,1.92,12.04,3.12,24.42
2013,51,15.46,4.37,1,2.3,1.93,12.06,3.11,24.42
2013,52,15.31,4.33,1,2.29,1.93,11.96,3.11,24.34
2014,1,13.98,4.18,0,2.29,1.93,11.83,3.1,24
2014,2,12.82,4.14,0,2.29,1.93,11.82,3.1,23.32
2014,3,12.23,4.12,0,2.27,1.93,11.83,3.1,22.7
2014,4,12.14,4.11,0,2.27,1.94,11.88,3.09,21.69
2014,5,12.37,4.11,0,2.27,1.94,11.88,3.09,21.73
2014,7,12.28,4.13,0,2.27,1.94,11.82,3.09,21.67
2014,8,12.12,4.13,0,2.28,1.94,11.83,3.09,21.49
2014,9,11.69,4.1,0,2.29,1.95,11.93,3.07,21.27
2014,10,11.49,4.03,0,2.27,1.95,11.96,3.07,20.99
2014,11,10.99,3.92,0,2.27,1.96,11.85,3.06,20.67
2014,12,10.65,3.81,0,2.26,1.97,11.81,3.06,20.28
2014,13,10.13,3.75,0,2.26,1.96,11.81,3.05,19.65
2014,14,10.15,3.79,0,2.25,1.94,11.79,3.05,19.05
2014,15,10.2,3.84,0,2.24,1.93,11.8,3.04,18.75
2014,16,10.24,3.86,0,2.23,1.9,11.77,3.04,18.54
2014,17,10.3,3.86,0,2.24,1.87,11.71,3.04,18.46
2014,19,12.01,3.95,0,2.26,1.84,11.81,3.05,19.03
2014,20,13.02,3.98,0,2.28,1.84,11.82,3.05,20.38
2014,21,13.44,4,0,2.29,1.83,11.79,3.06,21.05
2014,22,13.03,4.01,0,2.31,1.8,11.72,3.07,21.09
2014,23,12.8,4.03,0,2.32,1.82,11.88,3.07,21.2
2014,24,12.81,4.05,0,2.33,1.79,11.99,3.07,21.39
2014,25,12.77,4.04,0,2.35,1.78,11.95,3.07,21.41
2014,26,12.7,4.02,0,2.41,1.78,11.89,3.09,21.32
2014,27,12.65,4.01,0,2.44,1.76,11.91,3.11,21.22
2014,28,12.84,3.94,0,2.48,1.75,11.94,3.11,21.35
2014,29,13.87,3.9,0,2.56,1.76,12.07,3.12,21.79
2014,30,13.84,3.84,0,2.59,1.78,11.87,3.13,21.86
2014,31,14.11,3.83,0,2.61,1.8,11.92,3.14,22.11
2014,32,14.44,3.85,0,2.65,1.83,12.03,3.17,22.53
2014,33,14.87,3.86,1,2.7,1.84,12.03,3.2,22.97
2014,34,15,3.84,1,2.78,1.86,11.99,3.21,23.23
2014,35,14.94,3.82,1,2.81,1.86,11.96,3.21,23.39
2014,36,14.79,3.82,1,2.81,1.87,11.96,3.21,23.48
2014,37,14.74,3.79,0,2.78,1.87,11.96,3.2,23.53
2014,38,14.7,3.78,0,2.79,1.88,11.99,3.21,23.47
2014,39,14.37,3.77,0,2.78,1.88,11.95,3.21,23.45
2014,40,14.15,3.75,0,2.72,1.89,11.92,3.21,23.35
2014,41,14.06,3.75,0,2.57,1.9,11.92,3.18,23.27
2014,42,13.83,3.72,0,2.46,1.91,11.9,3.15,22.92
2014,43,13.72,3.71,0,2.39,1.92,11.94,3.13,22.68
2014,44,13.45,3.71,0,2.36,1.94,11.95,3.12,22.61
2014,45,13.47,3.74,0,2.35,1.95,12.03,3.12,22.55
2014,46,13.63,3.77,0,2.34,1.96,12.15,3.12,22.54
2014,47,13.6,3.77,0,2.34,1.96,12.19,3.12,22.56
2014,48,13.51,3.74,0,2.33,1.98,12.2,3.11,22.44
2014,49,13.42,3.72,0,2.33,1.98,12.31,3.12,22.34
2014,50,13.47,3.69,0,2.34,1.97,12.43,3.12,22.28
2014,51,13.35,3.66,0,2.34,1.96,12.47,3.11,22.19
2014,52,13.14,3.62,0,2.32,1.96,12.53,3.1,22.14
2015,1,12.95,3.58,0,2.31,1.94,12.63,3.09,21.97
2015,2,13.1,3.53,0,2.29,1.92,12.76,3.07,21.97
2015,3,13.24,3.46,0,2.27,1.9,12.81,3.05,21.96
2015,4,13.05,3.42,0,2.26,1.88,12.89,3.04,21.99
2015,5,12.78,3.33,0,2.25,1.88,12.93,3.02,21.89
2015,6,12.27,3.27,0,2.23,1.87,12.96,3.01,21.76
2015,7,11.76,3.23,0,2.22,1.88,12.95,3,21.42
2015,8,11.73,3.22,0,2.21,1.87,12.96,3,21.36
2015,9,11.71,3.21,0,2.21,1.88,12.97,3,21.22
2015,10,11.43,3.25,0,2.22,1.86,12.98,3,21.01
2015,11,11.25,3.25,0,2.22,1.86,12.98,3,20.76
2015,12,11.3,3.25,0,2.23,1.84,12.91,2.99,20.6
2015,13,11.76,3.25,0,2.26,1.84,12.93,2.99,20.66
2015,14,12.23,3.27,0,2.26,1.82,12.89,3,20.89
2015,15,12.25,3.27,0,2.28,1.78,12.91,3,21.08
2015,16,12.43,3.24,0,2.27,1.75,12.94,3,21.03
2015,17,12.97,3.23,0,2.27,1.71,12.88,3,21.23
2015,18,13.19,3.19,0,2.29,1.68,12.83,3,21.48
2015,19,13.52,3.18,0,2.28,1.66,12.75,2.99,21.78
2015,20,13.68,3.18,0,2.29,1.64,12.71,2.98,21.93
2015,21,13.88,3.15,0,2.29,1.63,12.65,2.97,21.97
2015,22,14,3.12,0,2.29,1.59,12.66,2.97,22.08
2015,23,14.18,3.07,0,2.28,1.56,12.66,2.96,22.32
2015,24,14.58,3.01,0,2.28,1.53,12.66,2.95,22.59
2015,25,14.81,2.93,1,2.27,1.5,12.57,2.93,22.84
2015,26,15.18,2.91,1,2.29,1.47,12.53,2.92,23.29
2015,27,15.93,2.88,1,2.31,1.42,12.41,2.91,23.9
2015,28,16.91,2.96,1,2.31,1.42,12.36,2.92,24.86
2015,29,17.1,3.01,1,2.31,1.44,12.36,2.93,25.56
2015,30,17.25,3.06,1,2.33,1.47,12.31,2.94,26.1
2015,31,17.52,3.05,1,2.33,1.51,12.27,2.94,26.58
2015,32,18.01,3.01,1,2.33,1.51,12.11,2.94,27.11
2015,33,18.18,3,1,2.3,1.5,12.05,2.94,27.65
2015,34,17.9,3,1,2.28,1.49,12.09,2.94,27.8
2015,35,18.05,2.99,1,2.23,1.47,12.08,2.92,28.02
2015,36,17.98,2.99,1,2.21,1.47,12.08,2.92,28.07
2015,37,17.9,2.97,1,2.16,1.45,12.01,2.91,28.1
2015,38,17.42,2.97,1,2.11,1.43,11.99,2.91,27.94
2015,39,17.14,2.98,1,2.05,1.42,12,2.89,27.52
2015,40,17.05,2.96,1,2.01,1.41,12.05,2.88,27.42
2015,41,16.98,2.97,1,1.94,1.41,11.97,2.86,27.39
2015,42,16.68,2.96,1,1.88,1.39,11.93,2.84,27.24
2015,43,16.12,2.99,1,1.83,1.36,11.97,2.82,26.96
2015,44,16.09,2.97,1,1.77,1.34,12.04,2.79,26.85
2015,45,16.01,2.96,1,1.73,1.33,12.11,2.78,26.62
2015,46,15.96,2.95,1,1.74,1.32,12.19,2.78,26.45
2015,47,15.92,2.92,1,1.76,1.32,12.19,2.78,26.4
2015,48,16.04,2.92,1,1.81,1.34,12.27,2.78,26.45
2015,49,16.21,2.91,1,1.86,1.36,12.29,2.8,26.52
2015,50,16.29,2.91,1,1.87,1.38,12.27,2.79,26.52
2015,51,16.3,2.89,1,1.88,1.39,12.26,2.78,26.53
2015,52,16.49,2.89,1,1.88,1.4,12.23,2.78,26.46
2016,1,17.16,2.87,1,1.88,1.41,12.29,2.79,27.1
2016,2,17.72,2.87,1,1.86,1.41,12.29,2.85,27.57
2016,3,17.81,2.88,1,1.87,1.41,12.26,2.85,27.73
2016,4,17.99,2.89,1,1.87,1.41,12.28,2.86,28.06
2016,5,18.5,2.89,1,1.86,1.41,12.29,2.85,29.3
2016,6,18.53,2.91,1,1.85,1.41,12.29,2.84,29.62
2016,7,18.55,2.91,1,1.84,1.41,12.28,2.83,29.47
2016,8,18.04,2.88,1,1.83,1.4,12.29,2.83,28.92
2016,9,18.12,2.85,1,1.8,1.38,12.45,2.8,28.71
2016,10,18.48,2.83,1,1.79,1.37,12.53,2.79,28.71
2016,11,18.82,2.81,1,1.78,1.34,12.5,2.79,29.11
2016,12,19.46,2.78,1,1.76,1.3,12.32,2.76,29.41
2016,14,19.58,2.75,1,1.74,1.27,12.24,2.73,29.68
2016,15,19.71,2.74,1,1.73,1.25,12.23,2.72,29.98
2016,16,19.76,2.72,1,1.7,1.24,12.33,2.7,30.11
2016,17,19.73,2.73,1,1.69,1.23,12.32,2.7,30.19
2016,18,19.86,2.77,1,1.7,1.23,12.41,2.69,30.26
2016,19,20.12,2.79,1,1.7,1.24,12.5,2.69,30.45
2016,20,20.34,2.84,1,1.71,1.23,12.51,2.7,30.7
2016,21,20.51,2.95,1,1.71,1.25,12.65,2.72,31
2016,22,20.68,3.02,1,1.72,1.29,12.81,2.74,31.23
2016,23,20.79,3.06,1,1.73,1.31,12.85,2.75,31.42
2016,24,20.71,3.14,1,1.77,1.32,12.88,2.77,31.62
2016,25,19.75,3.3,1,1.84,1.37,12.91,2.83,31.37
2016,26,19.55,3.44,1,1.93,1.41,12.88,2.86,31.08
2016,27,18.68,3.5,1,1.94,1.44,12.94,2.87,30.6
2016,28,18.36,3.48,1,1.97,1.46,12.9,2.87,30.27
2016,29,18.24,3.48,1,1.97,1.5,12.95,2.87,29.98
2016,30,18.2,3.42,1,1.97,1.52,12.91,2.87,29.88
2016,31,17.92,3.38,1,1.97,1.5,12.89,2.87,29.41
2016,32,17.77,3.35,1,1.95,1.48,12.94,2.86,29.19
2016,33,18.38,3.32,1,1.95,1.46,12.93,2.86,29.4
2016,34,18.27,3.33,1,1.95,1.44,12.92,2.86,29.4
2016,35,18.3,3.32,1,1.94,1.43,12.94,2.86,29.43
2016,36,18.27,3.31,1,1.95,1.42,12.95,2.85,29.55
2016,37,18.19,3.32,1,1.92,1.41,12.83,2.85,29.56
2016,38,17.99,3.36,1,1.83,1.4,12.77,2.82,29.59
2016,39,17.85,3.4,1,1.74,1.39,12.73,2.81,29.41
2016,40,17.1,3.4,1,1.69,1.39,12.7,2.8,29.01
2016,41,16.64,3.4,1,1.69,1.39,12.7,2.8,28.39
2016,41,16.64,3.41,1,1.68,1.4,12.66,2.8,28.39
2016,42,16.04,3.42,1,1.7,1.42,12.66,2.8,27.8
2016,43,15.73,3.42,1,1.72,1.45,12.6,2.81,27.34
2016,44,15.85,3.43,1,1.75,1.47,12.62,2.83,27.2
2016,45,16.13,3.45,1,1.76,1.49,12.62,2.84,27.29
2016,46,16.25,3.48,1,1.76,1.51,12.59,2.85,27.35
2016,47,16.43,3.58,1,1.78,1.53,12.55,2.86,27.41
2016,48,16.4,3.68,1,1.8,1.55,12.63,2.87,27.38
2016,49,16.48,3.74,1,1.81,1.56,12.65,2.88,27.45
2016,50,16.71,3.72,1,1.79,1.58,12.68,2.89,27.62
2016,51,17.05,3.71,1,1.78,1.59,12.66,2.88,27.87
2016,52,17.03,3.71,1,1.77,1.59,12.67,2.88,27.97
2016,53,17.37,3.66,1,1.76,1.58,12.66,2.87,28.15
2017,1,18.07,3.6,1,1.77,1.57,12.64,2.87,28.52
2017,2,18.1,3.56,1,1.75,1.57,12.65,2.86,28.88
2017,3,18.27,3.54,1,1.74,1.58,12.63,2.86,28.97
2017,4,18.15,3.53,1,1.73,1.58,12.63,2.86,29.2
2017,5,17.95,3.49,1,1.71,1.57,12.57,2.85,28.61
2017,6,17.04,3.47,1,1.7,1.58,12.54,2.85,27.89
2017,7,16.85,3.42,1,1.7,1.58,12.58,2.83,27.52
2017,8,16.76,3.4,1,1.69,1.57,12.5,2.82,27.3
2017,9,16.36,3.37,1,1.68,1.59,12.51,2.82,27.14
2017,10,16.12,3.35,1,1.69,1.59,12.47,2.82,27.08
2017,11,15.52,3.34,1,1.69,1.6,12.47,2.83,26.77
2017,12,15.86,3.3,1,1.71,1.6,12.48,2.83,26.81
2017,13,15.68,3.28,1,1.71,1.6,12.46,2.83,26.59
2017,14,15.67,3.25,1,1.73,1.59,12.46,2.83,26.61
2017,15,15.48,3.23,1,1.73,1.59,12.45,2.82,26.24
2017,16,15.08,3.21,1,1.75,1.59,12.41,2.82,25.77
2017,17,14.52,3.2,0,1.75,1.59,12.42,2.82,25.28
2017,18,14.32,3.19,0,1.76,1.58,12.36,2.81,24.9
2017,19,13.99,3.15,0,1.76,1.58,12.32,2.81,24.39
2017,20,13.38,3.13,0,1.76,1.58,12.32,2.81,23.85
2017,21,13.11,3.04,0,1.76,1.58,12.29,2.8,23.58
2017,22,12.42,3,0,1.76,1.57,12.27,2.8,23.11
2017,23,12.58,2.93,0,1.77,1.56,12.28,2.79,23.05
2017,24,13.37,2.93,0,1.77,1.56,12.36,2.79,23.35
2017,25,13.34,2.92,0,1.78,1.55,12.38,2.8,23.45
2017,26,13.67,2.95,0,1.8,1.57,12.37,2.81,23.55
2017,27,13.76,3,0,1.83,1.59,12.45,2.82,23.42
2017,28,13.81,3.01,0,1.83,1.58,12.5,2.82,23.42
2017,29,13.76,3,0,1.84,1.59,12.45,2.81,23.42
2017,30,13.69,3.01,0,1.85,1.59,12.49,2.81,23.22
2017,31,13.88,3.02,0,1.86,1.59,12.47,2.81,23.32
2017,32,14.17,3.02,0,1.86,1.6,12.47,2.82,23.38
2017,33,14.18,3.02,0,1.87,1.62,12.46,2.82,23.43
2017,34,14.44,3.02,0,1.86,1.62,12.45,2.82,23.72
2017,35,14.4,3.03,0,1.88,1.62,12.47,2.83,23.63
2017,36,14.52,3.05,0,1.91,1.61,12.47,2.84,23.63
2017,37,14.4,3.04,0,1.9,1.6,12.44,2.83,23.66
2017,38,14.26,3.08,0,1.87,1.61,12.44,2.83,23.6
2017,39,14.11,3.1,0,1.85,1.61,12.4,2.82,23.47
2017,41,13.96,3.13,0,1.86,1.61,12.4,2.83,23.41
2017,42,13.91,3.13,0,1.86,1.62,12.33,2.83,23.34
2017,43,13.97,3.14,0,1.86,1.62,12.35,2.83,23.43
2017,44,13.86,3.15,0,1.86,1.63,12.37,2.84,23.34
2017,45,13.89,3.15,0,1.84,1.63,12.4,2.84,23.38
2017,46,13.92,3.19,0,1.85,1.64,12.43,2.85,23.45
2017,47,13.96,3.2,0,1.85,1.64,12.43,2.84,23.46
2017,48,14.14,3.2,0,1.86,1.65,12.72,2.85,23.61
2017,49,14.63,3.2,0,1.85,1.65,12.87,2.85,23.93
